,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box,category_map,brand_encoding,online_only_No,online_only_Yes,exclusive_No,exclusive_Yes,limited_edition_No,limited_edition_Yes,rating_map
153,BVLGARI,Cologne,5.0,0.6572769953051644,-0.0974468914441629,94.0,No,No,No,9.64443787350625,2,46,1,0,1,0,1,0,1
154,BVLGARI,Cologne,5.0,-0.215962441314554,-0.3418436951861235,72.0,Yes,No,No,8.651025360870298,2,46,0,1,1,0,1,0,1
155,BVLGARI,Cologne,4.5,0.1502347417840375,-0.233872539465991,95.0,Yes,No,No,9.685517901520962,2,46,0,1,1,0,1,0,1
156,BVLGARI,Cologne,5.0,-0.2065727699530516,-0.3404794387059053,94.0,No,No,No,9.64443787350625,2,46,1,0,1,0,1,0,1
157,BVLGARI,Perfume,4.5,-0.1126760563380281,-0.1169362697329955,95.0,Yes,No,No,9.685517901520962,3,46,0,1,1,0,1,0,1
158,By Rosie Jane,Perfume,4.0,0.3474178403755869,0.0974468914441629,65.0,No,No,No,8.290427086042193,3,14,1,0,1,0,1,0,1
159,By Rosie Jane,Perfume,3.0,-0.0375586854460093,-0.2958487624244786,65.0,No,No,No,8.290427086042193,3,14,1,0,1,0,1,0,1
160,By Rosie Jane,Perfume Gift Sets,4.5,-0.028169014084507,0.331319430910154,30.0,No,Yes,No,5.892806489984965,1,14,1,0,0,1,1,0,1
161,By Rosie Jane,Perfume,5.0,-0.1690140845070422,-0.2623270317676866,25.0,No,No,No,5.403531282328869,3,14,1,0,1,0,1,0,1
162,By Rosie Jane,Perfume,3.0,-0.1971830985915492,-0.3979731046579614,65.0,No,No,No,8.290427086042193,3,14,1,0,1,0,1,0,1
163,By Rosie Jane,Perfume Gift Sets,3.0,-0.244131455399061,-0.364256480218281,50.0,Yes,No,Yes,7.414182971912106,1,14,0,1,1,0,0,1,1
164,By Rosie Jane,Perfume,4.0,-0.2065727699530516,-0.2882479048918339,65.0,No,No,No,8.290427086042193,3,14,1,0,1,0,1,0,1
165,By Rosie Jane,Perfume,5.0,-0.244131455399061,-0.3691288247904892,25.0,No,No,No,5.403531282328869,3,14,1,0,1,0,1,0,1
166,By Rosie Jane,Perfume,4.5,-0.0751173708920187,-0.1169362697329955,65.0,No,No,No,8.290427086042193,3,14,1,0,1,0,1,0,1
167,Calvin Klein,Perfume,4.5,5.098591549295775,1.6371077762619373,79.0,No,No,No,8.987791050934973,3,19,1,0,1,0,1,0,1
168,Calvin Klein,Perfume,4.5,1.4929577464788732,0.7211069966868057,65.0,No,No,No,8.290427086042193,3,19,1,0,1,0,1,0,1
169,Calvin Klein,Cologne,4.5,0.8356807511737089,-0.1364256480218281,83.0,No,No,No,9.170906395896624,2,19,1,0,1,0,1,0,1
170,Calvin Klein,Perfume,4.0,2.422535211267605,0.0974468914441629,73.0,Yes,No,No,8.700502667256274,3,19,0,1,1,0,1,0,1
171,Calvin Klein,Perfume,4.5,-0.0938967136150234,-0.1364256480218281,26.0,Yes,No,No,5.506549404048792,3,19,0,1,1,0,1,0,1
172,Calvin Klein,Cologne,4.5,-0.2347417840375587,-0.3404794387059053,66.0,Yes,No,No,8.343558863768457,2,19,0,1,1,0,1,0,1
173,Calvin Klein,Perfume,4.5,-0.215962441314554,-0.26076788150458,77.0,Yes,No,No,8.893784278203992,3,19,0,1,1,0,1,0,1
