,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
530,Jo Malone London,Perfume,4.0,-0.19718309859154928,0.019489378288832588,72.0,No,No,Yes,8.651025360870298
531,Jo Malone London,Perfume,3.5,-0.22535211267605634,-0.29935685051646854,180.0,No,No,No,12.422911650629937
532,John Varvatos,Cologne,4.5,0.9577464788732394,-0.05846813486649776,92.0,No,No,No,9.561348581144523
533,John Varvatos,Cologne,4.5,0.5070422535211268,-0.038978756577665176,72.0,No,No,No,8.651025360870298
534,John Varvatos,Cologne,5.0,1.051643192488263,-0.019489378288832588,72.0,No,No,No,8.651025360870298
535,John Varvatos,Cologne,4.0,-0.009389671361502348,-0.24342233482751902,69.0,No,No,Yes,8.499638387058544
536,John Varvatos,Cologne,5.0,-0.14084507042253522,-0.26252192555057496,72.0,No,No,Yes,8.651025360870298
537,John Varvatos,Cologne,4.0,-0.20657276995305165,-0.3451568894952251,94.0,No,No,No,9.64443787350625
538,John Varvatos,Perfume,0.0,-0.2535211267605634,-0.4170726953810173,94.0,No,No,Yes,9.64443787350625
539,John Varvatos,Cologne,5.0,-0.20657276995305165,-0.3784837263691288,74.0,Yes,No,Yes,8.749506568302204
540,John Varvatos,Cologne,4.0,-0.215962441314554,-0.3400896511401286,160.0,Yes,No,No,11.878427700101538
541,Juicy Couture,Perfume,4.5,9.136150234741784,6.450984213603586,79.0,No,No,No,8.987791050934973
542,Juicy Couture,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3625024361722861,100.0,Yes,No,Yes,9.886487181936577
543,Juicy Couture,Perfume,4.5,0.9953051643192489,1.1498733190411226,79.0,No,No,No,8.987791050934973
544,Juicy Couture,Perfume,4.5,0.3192488262910798,0.8380432664198012,79.0,Yes,No,No,8.987791050934973
545,Juicy Couture,Perfume,4.5,5.183098591549296,1.325277723640616,76.0,No,No,No,8.846137110936349
546,Juicy Couture,Perfume,4.0,-0.046948356807511735,0.038978756577665176,85.0,Yes,No,No,9.260148490029655
547,Juicy Couture,Perfume,4.5,0.8544600938967136,0.9744689144416293,99.0,No,No,No,9.846867029289216
548,Juicy Couture,Perfume,4.5,0.018779342723004695,0.05846813486649776,76.0,No,No,No,8.846137110936349
549,Juicy Couture,Perfume,4.5,-0.14084507042253522,-0.1559150263106607,130.0,Yes,No,No,10.963919948435288
550,Juliette Has a Gun,Perfume,4.0,5.68075117370892,4.755408302475151,135.0,No,No,No,11.12595725714876
551,Juliette Has a Gun,Perfume,4.0,0.892018779342723,0.7795751315533035,135.0,No,No,No,11.12595725714876
552,Juliette Has a Gun,Perfume Gift Sets,4.0,-0.18779342723004694,0.09744689144416294,28.0,Yes,No,Yes,5.70452318145842
553,Juliette Has a Gun,Perfume,4.5,0.8075117370892019,0.662638861820308,135.0,No,No,No,11.12595725714876
554,Juliette Has a Gun,Perfume Gift Sets,5.0,-0.1784037558685446,-0.17540440459949327,99.0,No,Yes,Yes,9.846867029289216
555,Juliette Has a Gun,Perfume,4.0,0.5070422535211268,0.09744689144416294,135.0,No,No,No,11.12595725714876
556,Juliette Has a Gun,Perfume,3.5,0.7981220657276995,0.5846813486649776,135.0,Yes,No,No,11.12595725714876
557,Juliette Has a Gun,Perfume,4.5,0.431924882629108,0.565191970376145,28.0,No,Yes,No,5.70452318145842
558,Juliette Has a Gun,Perfume,4.0,-0.018779342723004695,0.11693626973299552,135.0,No,No,No,11.12595725714876
559,Juliette Has a Gun,Perfume,4.0,0.10328638497652583,-0.019489378288832588,145.0,No,No,No,11.437805170767303
560,Juliette Has a Gun,Perfume,3.5,-0.18779342723004694,-0.3412590138374586,58.0,No,No,No,7.901441522764385
561,Juliette Has a Gun,Perfume,4.0,0.056338028169014086,0.0,145.0,No,No,No,11.437805170767303
562,Juliette Has a Gun,Perfume,4.5,0.046948356807511735,-0.07795751315533035,145.0,No,No,No,11.437805170767303
563,Juliette Has a Gun,Perfume,4.0,-0.10328638497652583,-0.09744689144416294,135.0,No,No,No,11.12595725714876
564,Juliette Has a Gun,Perfume,4.0,-0.07511737089201878,-0.05846813486649776,135.0,No,No,No,11.12595725714876
565,Juliette Has a Gun,Perfume,4.5,0.2535211267605634,0.6236601052426428,35.0,No,No,No,6.327749712805777
566,Juliette Has a Gun,Perfume,4.0,-0.046948356807511735,-0.038978756577665176,145.0,No,No,No,11.437805170767303
567,kate spade new york,Perfume,4.5,0.08450704225352113,0.331319430910154,78.0,Yes,No,No,8.940999128028045
568,kate spade new york,Perfume,4.5,0.26291079812206575,0.23387253946599104,58.0,Yes,No,No,7.901441522764385
569,Kenzo,Perfume,4.0,4.215962441314554,1.0914051841746248,62.0,No,No,No,8.127508568100522
570,Kenzo,Perfume,4.5,2.835680751173709,0.4677450789319821,87.0,No,No,No,9.347928840156936
571,Kenzo,Cologne,4.0,-0.24413145539906103,-0.40050672383550967,63.0,No,No,No,8.182417694122053
