,brand,category,size,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
75,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,86,5500,140.0,No,No,No,11.283835753642643
76,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,96,4400,140.0,No,Yes,No,11.283835753642643
77,Atelier Cologne,Perfume Gift Sets,1 oz/ 30 mL,0.0,0,206,80.0,Yes,Yes,Yes,9.034169117693915
78,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,6,1300,140.0,No,Yes,No,11.283835753642643
79,Atelier Cologne,Perfume Gift Sets,no size,5.0,3,976,135.0,Yes,Yes,Yes,11.125957257148759
80,Atelier Cologne,Perfume Gift Sets,no size,4.5,2,758,135.0,Yes,Yes,Yes,11.125957257148759
81,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,40,1300,140.0,No,Yes,No,11.283835753642643
82,Atelier Cologne,Perfume Gift Sets,no size,4.5,3,1200,78.0,Yes,No,Yes,8.940999128028045
83,Atelier Cologne,Perfume Gift Sets,1 oz/ 30 mL,0.0,0,344,80.0,Yes,Yes,Yes,9.034169117693915
84,Atelier Cologne,Perfume Gift Sets,1 oz/ 30 mL,0.0,0,232,80.0,Yes,Yes,Yes,9.034169117693915
85,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,67,2200,140.0,No,No,No,11.283835753642643
86,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,89,2800,140.0,No,Yes,No,11.283835753642643
87,Atelier Cologne,Perfume Gift Sets,1 oz/ 30 mL,0.0,0,138,80.0,Yes,Yes,Yes,9.034169117693915
88,Atelier Cologne,Perfume,no size,4.5,3,599,140.0,No,No,No,11.283835753642643
89,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,22,1600,140.0,No,No,No,11.283835753642643
90,Atelier Cologne,Perfume Gift Sets,no size,0.0,0,25,140.0,Yes,Yes,No,11.283835753642643
91,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,12,1200,140.0,No,No,No,11.283835753642643
92,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,15,1300,275.0,Yes,No,No,14.548180849193407
93,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,69,4900,140.0,No,No,No,11.283835753642643
94,Atelier Cologne,Perfume Gift Sets,no size,0.0,0,24,80.0,Yes,Yes,No,9.034169117693915
95,Atelier Cologne,Perfume Gift Sets,no size,5.0,1,475,135.0,Yes,Yes,Yes,11.125957257148759
96,Atelier Cologne,Perfume,1 oz/ 30 mL,5.0,4,2000,80.0,No,Yes,No,9.034169117693915
97,Atelier Cologne,Perfume,3.3 oz/ 98 mL,4.5,64,3300,140.0,No,No,No,11.283835753642643
98,Atelier Cologne,Perfume,3.3 oz/ 100 mL,5.0,1,748,275.0,Yes,No,No,14.548180849193407
99,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,29,915,275.0,No,No,No,14.548180849193407
100,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.5,11,922,140.0,No,No,No,11.283835753642643
101,Atelier Cologne,Perfume,3.3 oz/ 100 mL,4.0,7,626,140.0,No,No,No,11.283835753642643
102,Atelier Cologne,Perfume,1 oz/ 30 mL,4.0,10,1200,150.0,No,No,No,11.58809224176199
103,Atelier Cologne,Perfume,3.3 oz/ 100 mL,3.5,13,1200,140.0,No,No,No,11.283835753642643
104,BALENCIAGA,Perfume,1.7 oz/ 50 mL,4.5,360,11100,107.0,No,No,No,10.156321937926906
105,BALENCIAGA,Perfume,1.7 oz/ 50 mL,4.5,145,7000,117.0,No,No,No,10.521090218290176
106,BERDOUES,Perfume,3.38 oz/ 100 mL,4.5,29,1900,88.0,No,No,No,9.391288728612432
107,BERDOUES,Perfume Gift Sets,8 x 0.07oz/ 2 mL,4.5,31,1900,22.0,Yes,Yes,No,5.076002742512173
108,BERDOUES,Perfume,3.4 oz/ 100 mL,4.5,30,2700,88.0,No,No,No,9.391288728612432
109,BERDOUES,Perfume,3.4oz/100mL,4.5,10,486,88.0,Yes,No,No,9.391288728612432
110,BERDOUES,Perfume,3.4 oz/ 100 mL,4.5,22,2600,88.0,No,No,No,9.391288728612432
111,BERDOUES,Perfume,3.4 oz/ 100 mL,3.0,6,689,88.0,No,No,No,9.391288728612432
112,BERDOUES,Perfume,0.34 oz/ 10 mL,4.0,3,875,25.0,Yes,Yes,No,5.403531282328869
113,BERDOUES,Perfume,3.4 oz/ 100 mL,4.5,5,846,88.0,No,No,No,9.391288728612432
114,BERDOUES,Perfume,3.4 oz/ 100 mL,4.5,3,651,88.0,No,No,No,9.391288728612432
115,BERDOUES,Perfume,3.4 oz/ 100 mL,4.0,9,1000,88.0,No,No,No,9.391288728612432
116,BERDOUES,Perfume,3.4 oz/ 100 mL,3.5,5,1100,88.0,No,No,No,9.391288728612432
117,Bobbi Brown,Perfume,1.7 oz/ 50 mL,4.0,414,11200,79.0,No,No,No,8.987791050934973
118,BURBERRY,Perfume,1.6 oz/ 50 mL,4.5,99,8200,97.0,No,No,No,9.766776201471876
119,BURBERRY,Perfume Gift Sets,no size,5.0,3,1000,136.0,Yes,No,Yes,11.157857313687568
120,BURBERRY,Perfume,1.6 oz/ 50 mL,4.5,268,18700,99.0,No,No,No,9.846867029289216
121,BURBERRY,Perfume Gift Sets,1 oz/ 30 mL,3.5,7,3400,29.0,No,No,No,5.79980421045907
122,BURBERRY,Perfume,1.7 oz/ 50 mL,4.5,337,12300,85.0,No,No,No,9.260148490029655
123,BURBERRY,Perfume,1.6 oz/ 50 mL,4.5,7,1100,80.0,No,No,No,9.034169117693915
124,BURBERRY,Perfume,1.6 oz/ 47 mL,4.5,143,10400,99.0,No,No,No,9.846867029289216
125,BURBERRY,Cologne,1.7 oz,5.0,137,2500,66.0,No,No,No,8.343558863768457
126,BURBERRY,Cologne,3.3 oz/ 100 mL,5.0,9,1600,99.0,No,No,No,9.846867029289216
127,BURBERRY,Perfume,1.6 oz/ 50 mL,4.5,170,10600,99.0,No,No,No,9.846867029289216
128,BURBERRY,Perfume,1 oz,4.5,556,14600,60.0,No,No,No,8.01579744448119
129,BURBERRY,Perfume,1.6 oz/ 50 mL,4.0,159,503,103.0,Yes,No,No,10.003703589789698
130,BURBERRY,Perfume,1.6 oz/ 50 mL,4.5,38,3300,85.0,No,No,No,9.260148490029655
131,BURBERRY,Cologne,3.3 oz/ 100 mL,5.0,90,1800,80.0,No,No,No,9.034169117693915
132,BURBERRY,Perfume,3.3 oz/ 100 mL,4.5,254,4400,102.0,No,No,No,9.964900870787623
133,BURBERRY,Perfume Gift Sets,no size,0.0,0,606,105.0,No,No,Yes,10.080522838937373
134,BURBERRY,Cologne,1.6 oz/ 50 mL,5.0,8,867,71.0,No,No,No,8.601063404203895
135,BURBERRY,Cologne,1.6 oz/ 47 mL,5.0,36,2200,71.0,No,No,No,8.601063404203895
136,BURBERRY,Cologne,1.7 oz/ 50 mL,5.0,39,1700,66.0,No,No,No,8.343558863768457
137,BURBERRY,Cologne,3.3 oz/ 100 mL,4.5,98,1700,84.0,No,No,No,9.215713848773868
